"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
79926,54315,1645,5263,2923,4964,1256,1024,1559,1631,1450,7079,1564,6600,5599,1313,2820,1493,1181,1180,1180,1179,1179,1179,1179,1179,1179,1179,1184,1181,1786,1181,1180,1182,1179,2024
83613,49819,1586,4136,4122,7448,1437,1389,1132,3160,1696,12454,2111,8015,4295,1355,5453,2336,2173,1179,1180,1179,1179,1179,1179,1179,1179,1184,1179,1180,1184,1179,2037,1180,1179,2025
97803,57834,1448,5804,4520,5969,1562,1401,2856,3849,1712,14174,1696,6500,19338,1409,3612,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1847,1183,2053,1179,1184,1956,1179,2026
81711,50088,5250,1491,5596,6187,1806,1898,3672,1231,1450,8509,1342,7698,2925,1286,2143,1769,1179,1181,1180,1179,1179,1179,1179,1179,1179,1180,1186,1180,1185,1179,1184,1189,1179,2027
97587,58418,2402,2132,1280,3779,1304,1241,3296,2508,1472,1506,1473,5485,11572,4397,5115,1182,1184,1179,1179,1179,1179,1179,1179,1179,1179,1370,2136,1180,2691,1179,1187,1206,1179,2028
87708,45199,1347,5059,2856,6540,1319,1345,1336,1752,1395,9809,1480,6585,5104,1330,3757,1179,1192,1190,1185,1179,1179,1197,1179,1179,1179,1217,1196,1748,1189,1195,1193,2088,1180,2029
97734,56179,1459,7792,2854,7767,1550,1075,1045,2330,1595,15724,1254,7815,10810,1365,5550,1182,1194,1179,1179,1179,1179,1182,1179,1179,1179,1180,1188,1189,1195,1179,1181,2114,1179,2030
97386,64740,1349,10062,4720,7609,1107,1374,1430,2220,1512,13860,1449,9229,10569,1355,2018,1187,2445,1179,1179,1179,1179,1724,1179,1179,1179,1179,2344,1192,1185,1179,1182,2762,1179,2031
85340,52014,7161,1348,2222,4177,4369,810,6033,1499,1442,1798,1494,3720,5389,4186,4166,1185,1192,1179,1179,1179,1179,1179,1179,1179,1179,1179,1200,1192,1203,1181,1185,1183,1179,2032
82062,53392,2167,6058,5268,8906,2419,1771,3791,1367,1363,11567,1332,9800,7971,1415,1986,1179,1745,1179,1180,1179,1179,1179,1179,1179,1179,1179,1194,1182,1944,1694,1357,1185,1179,2033
98303,71705,1438,4313,2427,10175,1226,1407,604,3611,1394,13921,1361,10989,3613,1374,2674,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1179,1179,1180,1179,1179,2034
94353,59205,1482,4584,3735,5353,1492,948,1634,2375,1646,13750,1887,7750,6410,1434,2386,1179,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1180,2044,1774,1179,1179,1181,1179,2035
81235,53403,1588,6374,1400,13642,1551,1495,786,1759,1524,12713,1736,11597,7333,1306,3992,1179,2463,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,3060,1179,1179,2777,1180,2036
102387,79262,1446,3911,3820,7520,1432,1705,1609,4438,1671,13091,1926,8039,4270,1286,1744,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2264,1179,2855,1179,1179,1180,1179,2037
89069,51814,1422,6169,3709,4941,1297,1558,8316,1499,1415,9241,1295,6283,3538,1429,3183,1179,1179,1179,1179,1179,1179,1179,1405,1179,1179,1179,1179,1180,2221,1179,1345,1179,1179,2038
80734,51127,1337,4405,1442,5209,1279,744,1294,1449,1608,11484,1594,4785,16892,1398,3783,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,3062,1179,2039
76785,49013,7833,3914,1324,8779,1589,1606,1314,1420,1677,8534,1858,9263,4074,1293,3726,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1180,1179,1756,1181,1179,2040
89744,70310,2102,8056,1538,8080,1321,1750,935,2361,1440,13430,814,8241,4932,1389,4703,1179,3482,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1197,1179,3241,1181,1179,2041
85463,68399,1541,4172,2437,7865,1170,900,823,2237,1623,11517,1917,8652,7968,1358,3752,1179,2699,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1179,3340,1179,1180,3020,1179,2042
85691,44091,9180,3667,2442,11127,1363,1723,907,1522,1414,9827,2085,9993,4358,1292,5020,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2043
77740,48885,1783,4410,2682,5862,1201,1760,1494,1945,1350,12908,1735,6971,5842,1337,1458,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1180,1179,1180,2806,1179,2044
96126,68032,1364,5337,9150,3710,1498,1520,1526,4496,1737,13389,1683,4821,4213,1336,5671,1179,1533,1179,1179,1179,1179,1180,1179,1179,1179,1179,1181,1179,1184,1179,2376,1180,1180,2045
92840,67109,1382,4206,4840,6830,1302,2049,658,2970,1561,14875,1175,9327,12973,1408,2530,1180,3698,1179,1179,1179,1179,1179,1179,1179,1179,1179,3477,1179,1179,1179,1179,4129,1180,2046
94443,57627,1484,4766,1891,9367,1496,2137,1371,1521,1521,12441,1768,8948,2877,1326,4033,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1179,1179,1179,1179,1179,2047
91076,64653,13153,3875,2193,9433,1350,1511,1268,1599,1569,12485,2179,10557,5626,1376,2648,1180,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1187,1180,1179,1179,1179,1180,1179,2048
79087,40295,6669,7766,1451,9136,1303,1221,1187,1527,1452,9983,1406,7654,4673,1308,3361,1179,1181,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1179,2530,1179,1179,2550,1179,2049
92610,62108,1793,3643,2468,5053,2002,1793,2562,1545,1534,11294,1243,5488,9889,1363,2984,1180,1179,1180,1568,1179,1179,1179,1179,1179,1179,1179,1181,2104,1179,1179,1298,2441,1179,2050
91254,60395,1748,2102,3197,6723,1535,1716,2760,1596,1535,12543,1747,7313,3438,1357,3203,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,1182,1182,2430,1179,2018,1181,1179,2051
106066,74940,1519,5641,4955,6491,1551,2100,2887,4351,1801,14392,1766,7642,8258,1373,5813,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2239,1180,1277,1179,1179,2369,1179,2052
90404,76552,1809,4569,2099,14464,1303,2023,665,2661,1663,17685,1807,13785,3797,1461,3391,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2685,1180,1181,1179,1179,2053
95246,70796,1287,3592,3276,8013,1619,1274,1099,2879,1581,12198,1837,8038,4812,1268,3663,1179,1179,1179,1180,1179,1179,1179,1179,1179,1179,1179,2724,1179,1180,1179,1947,1182,1179,2054
84996,53509,1364,3692,1785,10363,1502,1451,1249,1467,1297,9994,1405,9566,3634,1411,3568,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1180,1179,1179,3962,1179,2055
87847,55086,1488,3795,3544,6298,1472,1945,782,1759,1435,7860,1237,7617,3463,1322,3570,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2407,1179,1179,1180,1181,1179,2056
95584,58252,1586,5447,3223,7950,1177,1701,1215,1651,1433,14101,1165,7510,5618,1464,992,1179,2450,1179,1179,2386,1179,1179,1179,1179,1179,1179,2366,1810,2297,1179,1179,1180,1179,2057
75252,56389,1199,3861,2357,3185,1206,1096,1318,2053,1307,13523,989,4868,5532,1367,1490,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2629,1180,1179,1179,1325,2861,1179,2058
93913,59661,1266,2993,4515,7116,1068,1362,3162,4705,1417,15642,1069,7660,12129,1349,4670,1179,2829,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2731,1179,1179,1179,1179,1179,2059
90166,74624,1963,3522,3049,7677,1684,738,724,1700,1249,14644,1410,8512,4417,1351,4064,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1184,1179,1179,1179,1179,1180,1179,2060
93954,47199,1336,4316,1931,9525,1113,1457,888,1383,1362,13473,1318,9442,3771,1382,2455,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1421,2448,1179,2061
90903,60352,1639,4364,8484,9847,1707,1692,2231,2539,1523,14458,1762,10127,6082,1341,1708,2205,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1191,1179,1592,2281,1179,2062
114097,64792,1344,3343,3751,6978,1518,1476,2651,3423,1428,16914,1344,7751,5197,1429,3248,1179,3551,1179,1179,1179,1179,1179,1179,1179,1179,1179,3087,3205,1179,1179,1207,1180,1179,2063
102870,66399,1489,3533,3764,11246,1397,1501,1524,3730,1560,15501,1109,10174,17410,1481,6044,1179,1179,1179,1179,1179,1179,1420,1179,1179,1179,1179,1742,1336,1892,1179,1179,1898,1179,2064
82322,48095,1353,4524,2954,3674,1157,1312,2950,1350,1257,11458,1416,5106,6834,1437,1850,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,2275,1179,1179,2065
88810,47840,1520,7209,2914,4870,1453,1410,1416,1459,1527,12795,1472,5406,12076,1425,3609,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2449,1179,2066
89249,47661,7443,4454,1375,10009,1415,1064,1056,1369,1393,10965,2807,8112,8448,1247,4253,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1182,1179,1179,2394,1180,1179,2067
96736,60398,2632,1446,1816,3516,3079,1141,3338,1889,1252,1255,1283,4965,4083,5194,2281,1179,1619,1179,1179,1179,1179,1179,1179,1179,1179,2154,1179,1179,1179,1179,2226,1179,1179,2068
94621,54492,1517,5452,3072,8536,1575,2224,1001,1751,1479,15395,1449,8813,7420,1390,1925,1179,1182,1179,1179,1179,1179,1179,1179,1179,1179,1179,1187,1182,1181,1179,1179,2690,1179,2069
85470,59956,1250,1380,8615,9308,1296,3507,2740,2085,1383,11213,1286,7872,4959,1316,2757,3411,3076,1179,1179,1179,1179,1179,1179,1179,1179,1179,1182,2948,1187,1182,1180,1183,1179,2070
93038,70786,1600,20493,2151,9689,2383,1987,1081,2167,1679,8805,1825,8427,4748,1329,3718,1179,1179,1179,1350,1179,1179,1415,1179,1179,1179,1179,1180,1615,1461,1810,1179,2026,1179,2071
102999,84681,1635,4924,3328,12468,1546,1596,1909,5533,1642,14623,1676,12297,3335,1386,4526,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,2479,1179,1180,1179,1704,2855,1179,2072
73157,30421,4845,3845,2020,3591,1271,964,1495,1375,1284,7829,1839,6600,4241,1296,2948,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,2452,1179,1179,1183,1184,1179,2073
90944,37109,8563,4497,1385,3182,1162,1753,2333,1473,1332,7060,1507,2913,4578,1334,1780,1179,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1184,1179,2200,1182,1179,2074
93107,54368,1267,6451,2536,3754,1115,1477,1425,1597,1430,13437,894,5212,4925,1416,1216,1184,1180,1180,1179,1179,1179,1179,1179,1179,1179,1179,1180,1183,1181,1179,2270,1190,1180,2075
94656,63422,1789,9016,3647,7717,2457,1067,1862,2039,1436,15633,1543,8816,4383,1453,3929,1179,1627,2154,1179,1179,1179,1179,1179,1179,1179,1181,2024,2013,1180,1180,1533,1181,1180,2076
90874,67725,2651,1515,1625,3341,2834,1893,3125,1766,1797,2319,1833,4206,6698,8824,3766,1180,1195,1179,1179,1179,1179,1180,1179,1179,1179,1179,1180,1179,1183,1179,2423,1180,1179,2077
81200,47711,2262,4346,2122,5834,1561,1203,1034,1849,1316,9945,1806,7867,4184,1262,3646,1180,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,2604,1180,1179,1181,1184,1179,2078
95509,58892,1191,3602,3821,4636,1140,1408,2750,3337,1362,14190,664,6373,10445,1389,2301,2237,1187,1179,1179,1179,1179,1180,1179,1179,1179,1180,1188,1179,2822,1179,1184,2706,1179,2079
106556,52323,1746,4754,3535,9946,1200,2120,2122,2413,1418,15263,1204,8424,10166,1393,4198,1180,1179,1179,1179,1179,1179,1947,1179,1179,1179,1179,1179,1180,1180,1179,2226,1182,1179,2080
89381,58185,1468,4410,4117,7178,1391,1835,1534,2404,1549,16452,1082,7025,5950,1263,2351,1179,1473,1179,1179,1179,1179,1179,1179,1179,1179,1179,2386,2172,1179,1179,1179,1180,1179,2081
